id,level,order,source_order,character,meanings,readings,strokes,grade,frequency_rank,classical_radical_numbers,radical_names,components,atomic_component,example_words,provenance
n5-kanji-0011,N5,11,11,長,"[""long"", ""leader"", ""superior"", ""senior""]","{""onyomi"": [""チョウ""], ""kunyomi"": [""なが.い"", ""おさ""], ""nanori"": [""お"", ""おしゃ"", ""たかし"", ""たけ"", ""な"", ""は"", ""ひさ""]}",8,2,12,[168],[],[],True,"[{""written_raw"": ""長い"", ""written_furigana"": ""{長}(なが)い"", ""reading"": ""ながい"", ""meanings"": [""long"", ""lengthy""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0012,N5,12,12,出,"[""exit"", ""leave"", ""go out"", ""come out"", ""put out"", ""protrude""]","{""onyomi"": [""シュツ"", ""スイ""], ""kunyomi"": [""で.る"", ""-で"", ""だ.す"", ""-だ.す"", ""い.でる"", ""い.だす""], ""nanori"": [""いず"", ""いづ"", ""いで"", ""じ"", ""すっ"", ""すつ"", ""てん""]}",5,1,13,[17],[],"[{""symbol"": ""｜"", ""meanings"": []}, {""symbol"": ""山"", ""meanings"": [""mountain""]}, {""symbol"": ""凵"", ""meanings"": [""open box enclosure"", ""open box radical (no. 17)""]}]",False,"[{""written_raw"": ""出かける"", ""written_furigana"": ""{出}(で)かける"", ""reading"": ""でかける"", ""meanings"": [""to go out"", ""to depart""]}, {""written_raw"": ""出す"", ""written_furigana"": ""{出}(だ)す"", ""reading"": ""だす"", ""meanings"": [""to take (something) out"", ""to hand in (something)""]}, {""written_raw"": ""出口"", ""written_furigana"": ""{出口}(でぐち)"", ""reading"": ""でぐち"", ""meanings"": [""an exit""]}, {""written_raw"": ""出る"", ""written_furigana"": ""{出}(で)る"", ""reading"": ""でる"", ""meanings"": [""to appear"", ""to leave""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0013,N5,13,13,三,"[""three""]","{""onyomi"": [""サン"", ""ゾウ""], ""kunyomi"": [""み"", ""み.つ"", ""みっ.つ""], ""nanori"": [""か"", ""さ"", ""さい"", ""さえ"", ""さぶ"", ""ざ"", ""ざえ"", ""ざぶ"", ""そう"", ""ぞ"", ""ただ"", ""みつ"", ""みん"", ""も"", ""や""]}",3,1,14,[1],[],"[{""symbol"": ""一"", ""meanings"": [""one"", ""one radical (no.1)""]}, {""symbol"": ""二"", ""meanings"": [""two"", ""two radical (no. 7)""]}]",False,"[{""written_raw"": ""三つ"", ""written_furigana"": ""{三}(みっ)つ"", ""reading"": ""みっつ"", ""meanings"": [""three things""]}, {""written_raw"": ""三日"", ""written_furigana"": ""{三日}(みっか)"", ""reading"": ""みっか"", ""meanings"": [""three days"", ""third day of the month""]}, {""written_raw"": ""三"", ""written_furigana"": ""{三}(さん)"", ""reading"": ""さん"", ""meanings"": [""three""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0014,N5,14,14,時,"[""time"", ""hour""]","{""onyomi"": [""ジ""], ""kunyomi"": [""とき"", ""-どき""], ""nanori"": [""と"", ""とぎ""]}",10,2,16,[72],[],"[{""symbol"": ""寸"", ""meanings"": [""measurement"", ""tenth of a shaku"", ""a little""]}, {""symbol"": ""土"", ""meanings"": [""soil"", ""earth"", ""ground""]}, {""symbol"": ""日"", ""meanings"": [""day"", ""sun"", ""Japan""]}]",False,"[{""written_raw"": ""時計"", ""written_furigana"": ""{時計}(とけい)"", ""reading"": ""とけい"", ""meanings"": [""a watch"", ""a clock""]}, {""written_raw"": ""時々"", ""written_furigana"": ""{時々}(ときどき)"", ""reading"": ""ときどき"", ""meanings"": [""sometimes""]}, {""written_raw"": ""時間"", ""written_furigana"": ""{時間}(じかん)"", ""reading"": ""じかん"", ""meanings"": [""time""]}, {""written_raw"": ""〜時"", ""written_furigana"": ""〜{時}(じ)"", ""reading"": ""〜じ"", ""meanings"": [""~ o'clock (time)""]}, {""written_raw"": ""〜時間"", ""written_furigana"": ""〜{時間}(じかん)"", ""reading"": ""〜じかん"", ""meanings"": [""~ hours""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0015,N5,15,15,行,"[""going"", ""journey"", ""carry out"", ""conduct"", ""act"", ""line"", ""row"", ""bank""]","{""onyomi"": [""コウ"", ""ギョウ"", ""アン""], ""kunyomi"": [""い.く"", ""ゆ.く"", ""-ゆ.き"", ""-ゆき"", ""-い.き"", ""-いき"", ""おこな.う"", ""おこ.なう""], ""nanori"": [""いく"", ""なみ"", ""なめ"", ""みち"", ""ゆき"", ""ゆく""]}",6,2,20,[144],[],"[{""symbol"": ""彳"", ""meanings"": [""stop"", ""linger"", ""loiter""]}]",False,"[{""written_raw"": ""銀行"", ""written_furigana"": ""{銀行}(ぎんこう)"", ""reading"": ""ぎんこう"", ""meanings"": [""bank""]}, {""written_raw"": ""飛行機"", ""written_furigana"": ""{飛行機}(ひこうき)"", ""reading"": ""ひこうき"", ""meanings"": [""airplane""]}, {""written_raw"": ""旅行"", ""written_furigana"": ""{旅行}(りょこう)"", ""reading"": ""りょこう"", ""meanings"": [""travel"", ""trip""]}, {""written_raw"": ""行く"", ""written_furigana"": ""{行}(い)く"", ""reading"": ""いく"", ""meanings"": [""to go""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0016,N5,16,16,見,"[""see"", ""hopes"", ""chances"", ""idea"", ""opinion"", ""look at"", ""visible""]","{""onyomi"": [""ケン""], ""kunyomi"": [""み.る"", ""み.える"", ""み.せる""], ""nanori"": []}",7,1,22,[147],[],"[{""symbol"": ""目"", ""meanings"": [""eye"", ""class"", ""look""]}, {""symbol"": ""儿"", ""meanings"": [""legs radical (no. 10)""]}]",False,"[{""written_raw"": ""見せる"", ""written_furigana"": ""{見}(み)せる"", ""reading"": ""みせる"", ""meanings"": [""to show"", ""to display""]}, {""written_raw"": ""見る"", ""written_furigana"": ""{見}(み)る"", ""reading"": ""みる"", ""meanings"": [""to see"", ""to look""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0017,N5,17,17,月,"[""month"", ""moon""]","{""onyomi"": [""ゲツ"", ""ガツ""], ""kunyomi"": [""つき""], ""nanori"": [""おと"", ""がっ"", ""す"", ""ずき"", ""もり""]}",4,1,23,[74],[],[],True,"[{""written_raw"": ""月曜日"", ""written_furigana"": ""{月曜日}(げつようび)"", ""reading"": ""げつようび"", ""meanings"": [""Monday""]}, {""written_raw"": ""今月"", ""written_furigana"": ""{今月}(こんげつ)"", ""reading"": ""こんげつ"", ""meanings"": [""this month""]}, {""written_raw"": ""来月"", ""written_furigana"": ""{来月}(らいげつ)"", ""reading"": ""らいげつ"", ""meanings"": [""next month""]}, {""written_raw"": ""先月"", ""written_furigana"": ""{先月}(せんげつ)"", ""reading"": ""せんげつ"", ""meanings"": [""last month""]}, {""written_raw"": ""〜か月"", ""written_furigana"": ""〜か{月}(げつ)"", ""reading"": ""〜かげつ"", ""meanings"": [""(number of) months""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0018,N5,18,18,後,"[""behind"", ""back"", ""later""]","{""onyomi"": [""ゴ"", ""コウ""], ""kunyomi"": [""のち"", ""うし.ろ"", ""うしろ"", ""あと"", ""おく.れる""], ""nanori"": [""こし"", ""し"", ""しい"", ""しり""]}",9,2,26,[60],[],"[{""symbol"": ""夂"", ""meanings"": [""late"", ""delayed"", ""winter radical (no. 34)""]}, {""symbol"": ""幺"", ""meanings"": [""short thread radical (no. 52)""]}, {""symbol"": ""彳"", ""meanings"": [""stop"", ""linger"", ""loiter""]}]",False,"[{""written_raw"": ""午後"", ""written_furigana"": ""{午後}(ごご)"", ""reading"": ""ごご"", ""meanings"": [""afternoon"", ""P.M.""]}, {""written_raw"": ""後"", ""written_furigana"": ""{後}(あと)"", ""reading"": ""あと"", ""meanings"": [""afterwards (later)"", ""in the future"", ""the rest"", ""since then""]}, {""written_raw"": ""明後日"", ""written_furigana"": ""{明後日}(あさって)"", ""reading"": ""あさって"", ""meanings"": [""day after tomorrow""]}, {""written_raw"": ""後ろ"", ""written_furigana"": ""{後}(うし)ろ"", ""reading"": ""うしろ"", ""meanings"": [""back"", ""behind"", ""rear""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0019,N5,19,19,前,"[""in front"", ""before""]","{""onyomi"": [""ゼン""], ""kunyomi"": [""まえ"", ""-まえ""], ""nanori"": [""さき"", ""さと"", ""まい""]}",9,2,27,[18],[],"[{""symbol"": ""一"", ""meanings"": [""one"", ""one radical (no.1)""]}, {""symbol"": ""刈"", ""meanings"": [""reap"", ""cut"", ""clip""]}, {""symbol"": ""月"", ""meanings"": [""month"", ""moon""]}, {""symbol"": ""并"", ""meanings"": [""put together""]}]",False,"[{""written_raw"": ""午前"", ""written_furigana"": ""{午前}(ごぜん)"", ""reading"": ""ごぜん"", ""meanings"": [""morning"", ""A.M.""]}, {""written_raw"": ""名前"", ""written_furigana"": ""{名前}(なまえ)"", ""reading"": ""なまえ"", ""meanings"": [""name""]}, {""written_raw"": ""前"", ""written_furigana"": ""{前}(まえ)"", ""reading"": ""まえ"", ""meanings"": [""before"", ""in front""]}, {""written_raw"": ""〜前"", ""written_furigana"": ""〜{前}(まえ)"", ""reading"": ""〜まえ"", ""meanings"": [""in front of ~""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0020,N5,20,20,生,"[""life"", ""genuine"", ""birth""]","{""onyomi"": [""セイ"", ""ショウ""], ""kunyomi"": [""い.きる"", ""い.かす"", ""い.ける"", ""う.まれる"", ""うま.れる"", ""う.まれ"", ""うまれ"", ""う.む"", ""お.う"", ""は.える"", ""は.やす"", ""き"", ""なま"", ""なま-"", ""な.る"", ""な.す"", ""む.す"", ""-う""], ""nanori"": [""あさ"", ""いき"", ""いく"", ""いけ"", ""うぶ"", ""うまい"", ""え"", ""おい"", ""ぎゅう"", ""くるみ"", ""ごせ"", ""さ"", ""じょう"", ""すぎ"", ""そ"", ""そう"", ""ちる"", ""なば"", ""にう"", ""にゅう"", ""ふ"", ""み"", ""もう"", ""よい"", ""りゅう""]}",5,1,29,[100],[],[],True,"[{""written_raw"": ""学生"", ""written_furigana"": ""{学生}(がくせい)"", ""reading"": ""がくせい"", ""meanings"": [""student""]}, {""written_raw"": ""先生"", ""written_furigana"": ""{先生}(せんせい)"", ""reading"": ""せんせい"", ""meanings"": [""teacher"", ""professor"", ""master"", ""doctor""]}, {""written_raw"": ""留学生"", ""written_furigana"": ""{留学生}(りゅうがくせい)"", ""reading"": ""りゅうがくせい"", ""meanings"": [""international student""]}, {""written_raw"": ""誕生日"", ""written_furigana"": ""{誕生日}(たんじょうび)"", ""reading"": ""たんじょうび"", ""meanings"": [""birthday""]}, {""written_raw"": ""生まれる"", ""written_furigana"": ""{生}(う)まれる"", ""reading"": ""うまれる"", ""meanings"": [""to be born""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0021,N5,21,21,五,"[""five""]","{""onyomi"": [""ゴ""], ""kunyomi"": [""いつ"", ""いつ.つ""], ""nanori"": [""い"", ""さ"", ""さつ"", ""ち"", ""ふ"", ""み"", ""め""]}",4,1,31,[7],[],[],True,"[{""written_raw"": ""五つ"", ""written_furigana"": ""<furigana>五つ</furigana>"", ""reading"": ""いつつ"", ""meanings"": [""five things""]}, {""written_raw"": ""五日"", ""written_furigana"": ""{五日}(いつか)"", ""reading"": ""いつか"", ""meanings"": [""five days"", ""fifth day of the month""]}, {""written_raw"": ""五"", ""written_furigana"": ""{五}(ご)"", ""reading"": ""ご"", ""meanings"": [""five""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0022,N5,22,22,間,"[""interval"", ""space""]","{""onyomi"": [""カン"", ""ケン""], ""kunyomi"": [""あいだ"", ""ま"", ""あい""], ""nanori"": [""ちか"", ""は"", ""はざ"", ""はし""]}",12,2,33,[169],[],"[{""symbol"": ""日"", ""meanings"": [""day"", ""sun"", ""Japan""]}, {""symbol"": ""門"", ""meanings"": [""gate"", ""counter for cannons""]}]",False,"[{""written_raw"": ""時間"", ""written_furigana"": ""{時間}(じかん)"", ""reading"": ""じかん"", ""meanings"": [""time""]}, {""written_raw"": ""〜時間"", ""written_furigana"": ""〜{時間}(じかん)"", ""reading"": ""〜じかん"", ""meanings"": [""~ hours""]}, {""written_raw"": ""〜週間"", ""written_furigana"": ""〜{週間}(しゅうかん)"", ""reading"": ""〜しゅうかん"", ""meanings"": [""~ weeks""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
n5-kanji-0023,N5,23,23,上,"[""above"", ""up""]","{""onyomi"": [""ジョウ"", ""ショウ"", ""シャン""], ""kunyomi"": [""うえ"", ""-うえ"", ""うわ-"", ""かみ"", ""あ.げる"", ""-あ.げる"", ""あ.がる"", ""-あ.がる"", ""あ.がり"", ""-あ.がり"", ""のぼ.る"", ""のぼ.り"", ""のぼ.せる"", ""のぼ.す"", ""たてまつ.る""], ""nanori"": [""あおい"", ""あげ"", ""い"", ""か"", ""かき"", ""かず"", ""かん"", ""こう"", ""のぼり"", ""ほつ""]}",3,1,35,[1],[],"[{""symbol"": ""一"", ""meanings"": [""one"", ""one radical (no.1)""]}, {""symbol"": ""卜"", ""meanings"": [""divining"", ""fortune-telling"", ""divination or katakana to radical (no. 25)""]}]",False,"[{""written_raw"": ""上げる"", ""written_furigana"": ""{上}(あ)げる"", ""reading"": ""あげる"", ""meanings"": [""to raise"", ""to lift""]}, {""written_raw"": ""上"", ""written_furigana"": ""{上}(うえ)"", ""reading"": ""うえ"", ""meanings"": [""above (up"", ""top"", ""etc.)"", ""over"", ""on top of""]}, {""written_raw"": ""上着"", ""written_furigana"": ""{上着}(うわぎ)"", ""reading"": ""うわぎ"", ""meanings"": [""coat"", ""jacket""]}, {""written_raw"": ""上手"", ""written_furigana"": ""{上手}(じょうず)"", ""reading"": ""じょうず"", ""meanings"": [""be good at"", ""skillful""]}]","{""level_map"": ""Bluskyo/JLPT_Vocabulary (Jonathan Waller/Tanos)"", ""dictionary"": ""KANJIDIC2"", ""components"": ""KRADFILE visible components""}"
