id,level,order,source_order,curriculum,written,reading,meanings,parts_of_speech,common,examples,provenance
n5-vocab-0011,N5,11,156,"{""genki_lesson"": 1}","{""primary"": ""学生"", ""variants"": [""学生""], ""without_furigana"": ""学生"", ""with_furigana"": ""{学生}(がくせい)"", ""lookup_text"": ""学生""}","{""primary"": ""がくせい"", ""variants"": [""がくせい""], ""source_text"": ""がくせい""}","[""student""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""学生の半数が休んでいた。"", ""japanese_furigana"": ""<furigana>学生の半数が休んでいた。</furigana>"", ""english"": ""Half the students were absent."", ""source"": ""tatoeba"", ""source_id"": ""184267""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""JC,(K4dD=="", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1206900"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0012,N5,12,253,"{""genki_lesson"": 1}","{""primary"": ""午後"", ""variants"": [""午後""], ""without_furigana"": ""午後"", ""with_furigana"": ""{午後}(ごご)"", ""lookup_text"": ""午後""}","{""primary"": ""ごご"", ""variants"": [""ごご""], ""source_text"": ""ごご""}","[""afternoon"", ""P.M.""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""adv"", ""label"": ""adverb (fukushi)""}]",True,"[{""japanese_raw"": ""その急行は午後六時三十分着だ。"", ""japanese_furigana"": ""<furigana>その急行は午後六時三十分着だ。</furigana>"", ""english"": ""The express arrives at 6:30 p.m."", ""source"": ""tatoeba"", ""source_id"": ""211448""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""C_ZC&#?>G!"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1268990"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0013,N5,13,256,"{""genki_lesson"": 1}","{""primary"": ""午前"", ""variants"": [""午前""], ""without_furigana"": ""午前"", ""with_furigana"": ""{午前}(ごぜん)"", ""lookup_text"": ""午前""}","{""primary"": ""ごぜん"", ""variants"": [""ごぜん""], ""source_text"": ""ごぜん""}","[""morning"", ""A.M.""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""adv"", ""label"": ""adverb (fukushi)""}]",True,"[{""japanese_raw"": ""その電車は午前９時にここを出発します。"", ""japanese_furigana"": ""<furigana>その電車は午前９時にここを出発します。</furigana>"", ""english"": ""The train departs here at 9:00 a.m."", ""source"": ""tatoeba"", ""source_id"": ""207576""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""ue~BwANA9n"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1269060"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0014,N5,14,296,"{""genki_lesson"": 1}","{""primary"": ""仕事"", ""variants"": [""仕事""], ""without_furigana"": ""仕事"", ""with_furigana"": ""{仕事}(しごと)"", ""lookup_text"": ""仕事""}","{""primary"": ""しごと"", ""variants"": [""しごと""], ""source_text"": ""しごと""}","[""work"", ""job"", ""occupation"", ""employment""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""vs"", ""label"": ""noun or participle which takes the aux. verb suru""}, {""code"": ""vi"", ""label"": ""intransitive verb""}]",True,"[{""japanese_raw"": ""「あなたは仕事が気に入っていると思います」「いやそれどころか、嫌いです」"", ""japanese_furigana"": ""<furigana>「あなたは仕事が気に入っていると思います」「いやそれどころか、嫌いです」</furigana>"", ""english"": ""\""I think you like your job.\"" \""On the contrary, I hate it.\"""", ""source"": ""tatoeba"", ""source_id"": ""237276""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""BpR$XStq*~"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1304970"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0015,N5,15,355,"{""genki_lesson"": 1}","{""primary"": ""先生"", ""variants"": [""先生""], ""without_furigana"": ""先生"", ""with_furigana"": ""{先生}(せんせい)"", ""lookup_text"": ""先生""}","{""primary"": ""せんせい"", ""variants"": [""せんせい""], ""source_text"": ""せんせい""}","[""teacher"", ""professor"", ""master"", ""doctor""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""n-suf"", ""label"": ""noun, used as a suffix""}]",True,"[{""japanese_raw"": ""われわれの先生は真の意味で紳士です。"", ""japanese_furigana"": ""<furigana>われわれの先生は真の意味で紳士です。</furigana>"", ""english"": ""Our teacher is a gentleman in the true sense of the word."", ""source"": ""tatoeba"", ""source_id"": ""191715""}, {""japanese_raw"": ""ぼくはジョーンズ先生に作文を直してもらった。"", ""japanese_furigana"": ""<furigana>ぼくはジョーンズ先生に作文を直してもらった。</furigana>"", ""english"": ""I had my composition corrected by Mr Jones."", ""source"": ""tatoeba"", ""source_id"": ""196345""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""A`19t`6J6t"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1387990"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0016,N5,16,372,"{""genki_lesson"": 1}","{""primary"": ""大学"", ""variants"": [""大学""], ""without_furigana"": ""大学"", ""with_furigana"": ""{大学}(だいがく)"", ""lookup_text"": ""大学""}","{""primary"": ""だいがく"", ""variants"": [""だいがく""], ""source_text"": ""だいがく""}","[""college"", ""university""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""合格者の過半数は大学出身者であった。"", ""japanese_furigana"": ""<furigana>合格者の過半数は大学出身者であった。</furigana>"", ""english"": ""The majority of the successful candidates were university graduates."", ""source"": ""tatoeba"", ""source_id"": ""173167""}, {""japanese_raw"": ""あなたは理科系の大学に進んだほうがいいよ。"", ""japanese_furigana"": ""<furigana>あなたは理科系の大学に進んだほうがいいよ。</furigana>"", ""english"": ""You should go on to a technical college."", ""source"": ""tatoeba"", ""source_id"": ""231493""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""kHyc<WfmUQ"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1413240"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0017,N5,17,441,"{""genki_lesson"": 1}","{""primary"": ""電話"", ""variants"": [""電話""], ""without_furigana"": ""電話"", ""with_furigana"": ""{電話}(でんわ)"", ""lookup_text"": ""電話""}","{""primary"": ""でんわ"", ""variants"": [""でんわ""], ""source_text"": ""でんわ""}","[""a telephone""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""vs"", ""label"": ""noun or participle which takes the aux. verb suru""}, {""code"": ""vt"", ""label"": ""transitive verb""}, {""code"": ""vi"", ""label"": ""intransitive verb""}]",True,"[{""japanese_raw"": ""電話は繰り返し鳴っていた。"", ""japanese_furigana"": ""<furigana>電話は繰り返し鳴っていた。</furigana>"", ""english"": ""The telephone rang repeatedly."", ""source"": ""tatoeba"", ""source_id"": ""124690""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""Q,geq&8^pJ"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1443840"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0018,N5,18,469,"{""genki_lesson"": 1}","{""primary"": ""友達"", ""variants"": [""友達""], ""without_furigana"": ""友達"", ""with_furigana"": ""{友達}(ともだち)"", ""lookup_text"": ""友達""}","{""primary"": ""ともだち"", ""variants"": [""ともだち""], ""source_text"": ""ともだち""}","[""friend""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""メグは新しい友達をたくさん得た。"", ""japanese_furigana"": ""<furigana>メグは新しい友達をたくさん得た。</furigana>"", ""english"": ""Meg acquired many new friends."", ""source"": ""tatoeba"", ""source_id"": ""194630""}, {""japanese_raw"": ""犬は人間の最も親しい友達である。"", ""japanese_furigana"": ""<furigana>犬は人間の最も親しい友達である。</furigana>"", ""english"": ""Dogs are man's closest friends."", ""source"": ""tatoeba"", ""source_id"": ""175256""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""E)w$/p&I#O"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1540170"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0019,N5,19,488,"{""genki_lesson"": 1}","{""primary"": ""何"", ""variants"": [""何""], ""without_furigana"": ""何"", ""with_furigana"": ""{何}(なん)"", ""lookup_text"": ""何""}","{""primary"": ""なん"", ""variants"": [""なん"", ""なに""], ""source_text"": ""なん; なに""}","[""what""]","[{""code"": ""pn"", ""label"": ""pronoun""}, {""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""adv"", ""label"": ""adverb (fukushi)""}, {""code"": ""int"", ""label"": ""interjection (kandoushi)""}]",True,"[{""japanese_raw"": ""今のアナウンスは何だったのですか。"", ""japanese_furigana"": ""<furigana>今のアナウンスは何だったのですか。</furigana>"", ""english"": ""What did the announcement just say?"", ""source"": ""tatoeba"", ""source_id"": ""172752""}, {""japanese_raw"": ""なによ！出来ないの？この度胸なし！腰抜けッ！"", ""japanese_furigana"": ""<furigana>なによ！出来ないの？この度胸なし！腰抜けッ！</furigana>"", ""english"": ""What? You can't do it? You coward! Chicken!"", ""source"": ""tatoeba"", ""source_id"": ""75472""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""g<hW@mElnM"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1577100"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0020,N5,20,490,"{""genki_lesson"": 1}","{""primary"": ""名前"", ""variants"": [""名前""], ""without_furigana"": ""名前"", ""with_furigana"": ""{名前}(なまえ)"", ""lookup_text"": ""名前""}","{""primary"": ""なまえ"", ""variants"": [""なまえ""], ""source_text"": ""なまえ""}","[""name""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""あなたの名前はリストからはずされた。"", ""japanese_furigana"": ""<furigana>あなたの名前はリストからはずされた。</furigana>"", ""english"": ""Your name was dropped from the list."", ""source"": ""tatoeba"", ""source_id"": ""232988""}, {""japanese_raw"": ""ああ、もしかして名前を呼ばれるのが恥ずかしいって？"", ""japanese_furigana"": ""<furigana>ああ、もしかして名前を呼ばれるのが恥ずかしいって？</furigana>"", ""english"": ""Ah, could it be you're embarrassed to be called by your first name?"", ""source"": ""tatoeba"", ""source_id"": ""76927""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""e6o_CEx8)b"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1531710"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0021,N5,21,519,"{""genki_lesson"": 1}","{""primary"": ""はい"", ""variants"": [""はい""], ""without_furigana"": ""はい"", ""with_furigana"": ""はい"", ""lookup_text"": ""はい""}","{""primary"": ""はい"", ""variants"": [""はい""], ""source_text"": ""はい""}","[""yes""]","[{""code"": ""int"", ""label"": ""interjection (kandoushi)""}]",True,"[{""japanese_raw"": ""はいどうぞ、君が飛行機の中で読む雑誌です。"", ""japanese_furigana"": ""<furigana>はいどうぞ、君が飛行機の中で読む雑誌です。</furigana>"", ""english"": ""Here's a magazine for you to read in the plane."", ""source"": ""tatoeba"", ""source_id"": ""198338""}, {""japanese_raw"": ""「もしもし、ブラウンさんですか」「はい、そうです」"", ""japanese_furigana"": ""<furigana>「もしもし、ブラウンさんですか」「はい、そうです」</furigana>"", ""english"": ""\""Hello, is this Mrs. Brown?\"" \""Yes, this is Mrs. Brown.\"""", ""source"": ""tatoeba"", ""source_id"": ""236422""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""Q.;:Q&Nmh}"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1010080"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0022,N5,22,549,"{""genki_lesson"": 1}","{""primary"": ""半"", ""variants"": [""半""], ""without_furigana"": ""半"", ""with_furigana"": ""{半}(はん)"", ""lookup_text"": ""半""}","{""primary"": ""はん"", ""variants"": [""はん""], ""source_text"": ""はん""}","[""half (e.g., にじはん | half-past two)""]","[{""code"": ""n-pref"", ""label"": ""noun, used as a prefix""}, {""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""n-suf"", ""label"": ""noun, used as a suffix""}]",True,"[{""japanese_raw"": ""半時間したら彼はここに来るでしょう。"", ""japanese_furigana"": ""<furigana>半時間したら彼はここに来るでしょう。</furigana>"", ""english"": ""He will be here in half an hour."", ""source"": ""tatoeba"", ""source_id"": ""121264""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""s%lRHov]`n"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1478750"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0023,N5,23,554,"{""genki_lesson"": 1}","{""primary"": ""番号"", ""variants"": [""番号""], ""without_furigana"": ""番号"", ""with_furigana"": ""{番号}(ばんごう)"", ""lookup_text"": ""番号""}","{""primary"": ""ばんごう"", ""variants"": [""ばんごう""], ""source_text"": ""ばんごう""}","[""number"", ""series of digits""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""ええ、じゃあ私の電話番号教えるね。"", ""japanese_furigana"": ""<furigana>ええ、じゃあ私の電話番号教えるね。</furigana>"", ""english"": ""OK. Let me give you my number."", ""source"": ""tatoeba"", ""source_id"": ""228016""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""c^xE))av$-"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1482290"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0024,N5,24,699,"{""genki_lesson"": 1}","{""primary"": ""留学生"", ""variants"": [""留学生""], ""without_furigana"": ""留学生"", ""with_furigana"": ""{留学生}(りゅうがくせい)"", ""lookup_text"": ""留学生""}","{""primary"": ""りゅうがくせい"", ""variants"": [""りゅうがくせい""], ""source_text"": ""りゅうがくせい""}","[""international student""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""３人の中国人留学生がその大学に入学が許された。"", ""japanese_furigana"": ""<furigana>３人の中国人留学生がその大学に入学が許された。</furigana>"", ""english"": ""Three Chinese students were admitted to the college."", ""source"": ""tatoeba"", ""source_id"": ""235285""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""n89-KYTMQf"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1552750"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0025,N5,25,714,"{""genki_lesson"": 1}","{""primary"": ""私"", ""variants"": [""私""], ""without_furigana"": ""私"", ""with_furigana"": ""{私}(わたし)"", ""lookup_text"": ""私""}","{""primary"": ""わたし"", ""variants"": [""わたし""], ""source_text"": ""わたし""}","[""I"", ""myself""]","[{""code"": ""pn"", ""label"": ""pronoun""}]",True,"[{""japanese_raw"": ""騒がしいホームで誰かが私の名前を呼んでいるのが聞こえた。"", ""japanese_furigana"": ""<furigana>騒がしいホームで誰かが私の名前を呼んでいるのが聞こえた。</furigana>"", ""english"": ""I could hear someone calling my name on the noisy platform."", ""source"": ""tatoeba"", ""source_id"": ""140263""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""I+Y7lySy.4"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1311110"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0026,N5,26,17,"{""genki_lesson"": 2}","{""primary"": ""あそこ"", ""variants"": [""あそこ""], ""without_furigana"": ""あそこ"", ""with_furigana"": ""あそこ"", ""lookup_text"": ""あそこ""}","{""primary"": ""あそこ"", ""variants"": [""あそこ""], ""source_text"": ""あそこ""}","[""there"", ""over there"", ""that place""]","[{""code"": ""pn"", ""label"": ""pronoun""}, {""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""あそこから人影が見えた。"", ""japanese_furigana"": ""<furigana>あそこから人影が見えた。</furigana>"", ""english"": ""A form appeared from over there."", ""source"": ""tatoeba"", ""source_id"": ""234430""}, {""japanese_raw"": ""先生、アソコがかゆいんです。"", ""japanese_furigana"": ""<furigana>先生、アソコがかゆいんです。</furigana>"", ""english"": ""Doctor, I've got an itch in my crotch."", ""source"": ""tatoeba"", ""source_id"": ""2733322""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""P>AI.lx+Jq"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1000320"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
